run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,extractor_llm_time_sec,reasoner_llm_time_sec,total_time_sec,mutation_ratio,noop_ratio,llm_time_sec,non_llm_time_sec,llm_fraction,extractor_fraction,reasoner_fraction
real,8,50,0.5,dag,1.0,0.7454305163781916,3.5714285714285716,0.21274341225624085,50,1,49,66.06480197235942,10.637170612812042,67.07533284649253,0.98,0.02,76.70197258517146,-9.626639738678932,1.1435198206278052,0.984934388973577,0.15858543165422812
real,8,50,0.5,batch,0.9591836734693877,0.7508253947913599,7.0,0.1253257043659687,50,1,49,65.939010521397,6.266285218298435,66.5933788958937,0.98,0.02,72.20529573969543,-5.611916843801737,1.0842713935956745,0.9901736721375907,0.09409772145808372
real,8,50,0.5,sequential,1.0,0.7071933048541199,1.0,0.6645861340686678,50,1,49,66.60905180126429,33.229306703433394,70.70202681049705,0.98,0.02,99.83835850469768,-29.136331694200635,1.4121003740429516,0.9421095095307073,0.4699908645122445
real,8,200,0.1,dag,1.0,0.7117664462725082,10.0,0.1014675859361887,200,8,192,278.850340468809,20.29351718723774,280.99104846455157,0.96,0.04,299.14385765604675,-18.15280919149518,1.0646028024404672,0.9923815793868159,0.07222122305365136
real,8,200,0.1,batch,1.0,0.7151308336872673,26.0,0.046877039214596156,200,7,193,278.4783602207899,9.37540784291923,279.6691046990454,0.965,0.035,287.85376806370914,-8.18466336466372,1.029265525677108,0.9957423095427831,0.03352321613432487
real,8,200,0.1,sequential,1.0,0.6757422708418743,1.0,0.7348972099367529,200,8,192,282.5429870840162,146.97944198735058,295.97082886472344,0.96,0.04,429.5224290713668,-133.55160020664334,1.4512323079910165,0.9546311985129975,0.4966011094780191
real,8,200,0.5,dag,1.0,0.7565875304735902,5.714285714285714,0.15490073543973268,200,8,192,260.2745276466012,30.980147087946534,264.34482719376683,0.96,0.04,291.25467473454773,-26.909847540780902,1.1017982754815012,0.984602310586611,0.11719596489489027
real,8,200,0.5,batch,0.9865771812080537,0.7664302882996056,26.0,0.044171794094145296,200,7,193,259.8230687920004,8.83435881882906,260.95002122595906,0.965,0.035,268.6574276108295,-7.70740638487041,1.0295359484879922,0.9956813476057057,0.033854600882286597
real,8,200,0.5,sequential,1.0,0.7209282800803237,1.0,0.7246747915819287,200,8,192,263.76465054415166,144.93495831638575,277.42010616883636,0.96,0.04,408.6996088605374,-131.27950269170105,1.4732155304266414,0.9507769793139144,0.522438551112727
real,8,100,0.8,dag,1.0,0.7942831046819461,3.225806451612903,0.2648913136869669,100,14,86,124.0186757761985,26.48913136869669,125.89969421550632,0.86,0.14,150.5078071448952,-24.60811292938888,1.1954580833791895,0.985059388340626,0.21039869503856334
real,8,100,0.8,batch,0.9310344827586207,0.8003810207801776,13.0,0.0847493895329535,100,15,85,123.68061279691756,8.47493895329535,124.94049384444952,0.85,0.15,132.1555517502129,-7.215057905763388,1.05774795411603,0.9899161512111477,0.06783180290488222
real,8,100,0.8,sequential,1.0,0.7546995139697489,1.0,0.7395413845963776,100,14,86,125.54676956683397,73.95413845963776,132.50306664966047,0.86,0.14,199.50090802647173,-66.99784137681127,1.505632383241018,0.9475008597256166,0.5581315235154013
real,8,200,0.95,dag,1.0,0.8261513368733672,3.3333333333333335,0.2601699369959533,200,54,146,235.71279356628656,52.033987399190664,242.0863963700831,0.73,0.27,287.7467809654772,-45.660384595394135,1.1886119388781848,0.9736721976147182,0.21493974126346654
real,8,200,0.95,batch,1.0,0.8462845339155052,26.0,0.048029859252274036,200,50,150,235.08834712021053,9.605971850454807,236.32713583298028,0.75,0.25,244.69431897066534,-8.36718313768506,1.0354050884093073,0.9947581613579694,0.04064692705133805
real,8,200,0.95,sequential,1.0,0.7882749693673605,1.0,0.7548145300615579,200,54,146,239.0684839170426,150.96290601231158,253.718572543934,0.73,0.27,390.0313899293542,-136.3128173854202,1.5372599097443536,0.9422585091820405,0.5950014005623132
real,8,500,0.95,dag,1.0,0.8252142772297946,3.937007874015748,0.24492326156795025,500,145,355,592.3946188371629,122.46163078397512,605.9032348282635,0.71,0.29,714.856249621138,-108.95301479287446,1.179819166708618,0.977704994437058,0.20211417227156
real,8,500,0.95,batch,0.8636363636363636,0.8388445860883367,63.0,0.0288259173668921,500,113,387,593.9451060350984,14.41295868344605,596.0579686537385,0.774,0.226,608.3580647185445,-12.300096064805984,1.020635737984658,0.9964552732624107,0.0241804647222472
